"country","SFTGcode","COW","risk_in_2020","risk_in_2020_21","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Argentina","ARG",160,0.006306,0.008824,0,1,0,0,0,0,0,5.31811999384422,17.6208101638746,2.96647939483827,-2.16295212091666,1,1,0,0.26,0,1,4,1,4,0,1,1,0.915,0,0,0,0,0.967,3.47796290872894,0
"Azerbaijan","AZE",373,0.006286,0.008374,0,1,0,0,1,0,0,3.36729582998647,16.1204247365315,4.38178046004133,2.21870427670238,1,1,1,0.2,0,1,4,1,2,0,1,0,0.396,0,0,0,1,-1.544,4.45485737559727,0
"Mauritania","MAA",435,0.006261,0.007926,0,0,1,0,0,0,0,4.0943445622221,15.325281935443,7.17635004720366,5.93051088463308,0,1,1,0.62,0,1,3,1,2,0,1,0,0.777,0,0,0,1,-1.458,4.54561563597839,0
"Kyrgyzstan","KYR",703,0.006203,0.008282,0,0,0,0,0,0,1,3.36729582998647,15.6806598844204,4.11096095821889,4.50713892307806,1,1,0,0.68,0,1,4,1,3,0,1,0,0.675,0,0,0,1,0.275,4.63555387740418,0
"Dominican Republic","DOM",42,0.006126,0.00816,0,1,0,0,0,0,0,5.04342511691925,16.189388621854,4.90917508345343,5.08717603728121,1,1,0,0.43,0,1,4,1,4,0,1,1,0.938,1,0,0,0,0.682,3.96954450381345,0
"Cambodia","CAM",811,0.006029,0.00923,0,1,0,1,0,0,0,4.20469261939097,16.6180549696949,4.89897948556636,7.05410693233324,0,1,1,0.21,0,1,3,0,3,0,1,1,0.331,0,0,0,1,-1.232,4.81669873369839,0
"Swaziland","SWA",572,0.005972,0.005922,0,0,1,0,0,0,0,3.95124371858143,13.9536450898686,6.557438524302,2.01391840497347,0,1,1,0.06,0,1,1,1,2,0,0,0,0.183,0,0,0,1,-1.206,4.43572546209663,0
"Bahrain","BAH",692,0.005917,0.01444,0,0,0,0,0,1,0,3.89182029811063,14.3109211787173,2.46981780704569,1.81956900625906,0,1,1,0.5,0,0,3,1,2,0,0,0,0.218,1,0,1,1,-1.914,5.01995740324844,0
"Venezuela","VEN",101,0.005811,0.006741,0,0,0,0,0,0,0,5.24702407216049,17.1659698945682,4.62601340248815,-0.14,1,1,1,0.5,0,1,3,1,3,0,1,1,0.328,0,0,0,1,1.183,-2.11359348897597,0
"Gabon","GAB",481,0.005807,0.00919,0,0,1,0,0,0,0,4.0943445622221,14.5914254990969,5.71839138219832,3.39411015217392,0,1,0,0.77,0,1,4,1,4,0,1,1,0.896,0,0,0,1,0.386,4.28962565174613,1
"Kazakhstan","KZK",705,0.005806,0.00591,0,0,0,0,0,0,1,3.36729582998647,16.7340339796796,2.96647939483827,4.50000000008481,1,1,0,0.62,0,0,2,1,2,0,1,0,0.568,0,0,0,0,-0.58,4.16560273956485,0
"Guinea-Bissau","GNB",404,0.005462,0.007265,0,0,1,0,0,0,0,3.8286413964891,14.4683158370742,7.34846922834954,4.60009404540054,1,1,0,0.81,0,1,4,1,4,0,1,1,0.73,0,0,0,1,-0.253,4.04320135915522,0
"Malaysia","MAL",820,0.005458,0.008207,0,0,0,1,0,0,0,4.14313472639153,17.2796757591077,2.58843582110896,4.3302184155654,0,1,1,0.59,0,1,4,1,3,0,1,1,0.642,0,0,0,1,1.251,4.81292351798713,0
"Canada","CAN",20,0.005353,0.006353,0,0,0,0,0,0,0,5.03043792139244,17.4422289824666,2.07364413533277,1.65604085428095,1,1,0,0.71,0,1,4,1,4,0,1,1,0.959,0,0,0,0,2.054,4.17402881328293,0
"Benin","BEN",434,0.005302,0.006952,0,0,1,0,0,0,0,4.0943445622221,16.2837076270518,7.77817459305202,6.86568733525598,1,1,0,0.79,0,1,4,1,4,0,1,1,0.725,0,1,0,0,1.137,4.15389146333416,0
"Saudi Arabia","SAU",670,0.005209,0.007841,0,0,0,0,0,1,0,4.47733681447821,17.3497379399082,2.44948974278318,0.331435726946069,0,1,1,0.18,0,1,0,1,0,0,0,0,0.232,0,1,0,1,-1.206,4.12976111321165,0
"Ghana","GHA",452,0.005074,0.006964,0,0,1,0,0,0,0,4.14313472639153,17.2305403623642,5.90762219509677,6.47839480535899,1,1,0,0.67,0,1,4,2,4,0,1,1,0.866,0,1,0,0,0.741,4.2679923719359,0
"Cuba","CUB",40,0.004869,0.004617,0,1,0,0,0,0,0,5.02388052084628,16.2432719997075,1.92353840616713,0.016,0,1,0,0.59,0,1,0,1,3,0,0,0,0.248,0,1,0,0,1.287,3.2993406540198,0
"Djibouti","DJI",522,0.004712,0.004134,0,0,1,0,0,0,0,3.76120011569356,13.7887147351771,7.05691150575094,7.47031842181347,1,1,0,0.8,0,1,3,1,2,0,1,0,0.514,0,0,0,0,-0.71,5.69798666744206,0
"Israel","ISR",666,0.00471,0.00826,0,0,0,0,0,1,0,4.27666611901606,16.0186398900948,1.73205080756888,3.51408454632801,0,1,0,0.34,3.93182563272433,1,4,1,4,0,1,1,0.808,0,0,0,0,0.834,4.06842198390337,0
"Honduras","HON",91,0.004573,0.004543,0,0,0,0,0,0,0,5.2040066870768,16.0923795072386,3.88587184554509,2.65276116021215,1,1,0,0.19,0,1,4,0,4,0,1,0,0.626,0,0,0,1,-1.373,4.57071694348384,0
"Bosnia and Herzegovina","BOS",346,0.004515,0.005282,0,1,0,0,1,0,0,3.3322045101752,15.0097360108353,2.23606797749979,2.58262786645444,1,1,0,0.63,0,1,4,1,4,0,1,0,0.657,0,0,0,1,0.454,4.56310385799124,0
"Jordan","JOR",663,0.004454,0.009744,0,1,0,0,0,1,0,4.30406509320417,16.1282136905199,3.72827037646145,2,0,1,1,0.59,0,1,4,1,3,0,1,0,0.727,0,1,0,1,0.639,4.47297695909974,0
"Namibia","NAM",565,0.004434,0.005402,0,0,1,0,0,0,0,3.40119738166216,14.7296108926691,5.3851648071345,-1.13409795187005,1,1,0,0.63,0,1,4,1,4,0,1,1,0.831,0,0,0,1,1.17,4.42455395070556,0
